2012-05-03 10:28:29.1459|INFO|FinalVersion.SurfaceWindow1|; 1336040903237 ; steven houben ; C ; 1 ; 3 ; 2 ; 2 ; 1336040909145
2012-05-03 10:29:02.7398|INFO|FinalVersion.SurfaceWindow1|; 1336040931630 ; steven houben ; C ; 2 ; 3 ; 0 ; 0 ; 1336040942739
2012-05-03 10:29:22.4239|INFO|FinalVersion.SurfaceWindow1|; 1336040947160 ; steven houben ; C ; 2 ; 3 ; 1 ; 0 ; 1336040962423
2012-05-03 10:29:45.4462|INFO|FinalVersion.SurfaceWindow1|; 1336040966777 ; steven houben ; C ; 2 ; 3 ; 2 ; 0 ; 1336040985446
2012-05-03 10:30:41.0534|INFO|FinalVersion.SurfaceWindow1|; 1336041036293 ; steven houben ; C ; 0 ; 1 ; 0 ; 0 ; 1336041041053
2012-05-03 10:31:04.7918|INFO|FinalVersion.SurfaceWindow1|; 1336041044083 ; steven houben ; C ; 0 ; 1 ; 1 ; 1 ; 1336041064791
2012-05-03 10:31:14.7823|INFO|FinalVersion.SurfaceWindow1|; 1336041068137 ; steven houben ; C ; 0 ; 1 ; 2 ; 0 ; 1336041074782
2012-05-03 10:31:23.6408|INFO|FinalVersion.SurfaceWindow1|; 1336041077361 ; steven houben ; C ; 0 ; 1 ; 1 ; 0 ; 1336041083640
2012-05-03 10:31:30.9693|INFO|FinalVersion.SurfaceWindow1|; 1336041086070 ; steven houben ; C ; 0 ; 1 ; 0 ; 0 ; 1336041090969
2012-05-03 10:31:42.8259|INFO|FinalVersion.SurfaceWindow1|; 1336041093724 ; steven houben ; C ; 0 ; 1 ; 2 ; 0 ; 1336041102825
2012-05-03 10:31:50.6574|INFO|FinalVersion.SurfaceWindow1|; 1336041105304 ; steven houben ; C ; 0 ; 1 ; 0 ; 0 ; 1336041110657
2012-05-03 10:31:58.1888|INFO|FinalVersion.SurfaceWindow1|; 1336041113009 ; steven houben ; C ; 0 ; 1 ; 1 ; 0 ; 1336041118188
2012-05-03 10:32:08.7154|INFO|FinalVersion.SurfaceWindow1|; 1336041120601 ; steven houben ; C ; 0 ; 1 ; 2 ; 0 ; 1336041128715
2012-05-03 10:32:20.2471|INFO|FinalVersion.SurfaceWindow1|; 1336041136749 ; steven houben ; C ; 1 ; 1 ; 1 ; 1 ; 1336041140247
2012-05-03 10:32:24.0983|INFO|FinalVersion.SurfaceWindow1|; 1336041142103 ; steven houben ; C ; 1 ; 1 ; 0 ; 1 ; 1336041144098
2012-05-03 10:32:42.4034|INFO|FinalVersion.SurfaceWindow1|; 1336041146674 ; steven houben ; C ; 1 ; 1 ; 2 ; 4 ; 1336041162403
2012-05-03 10:32:46.7816|INFO|FinalVersion.SurfaceWindow1|; 1336041164388 ; steven houben ; C ; 1 ; 1 ; 0 ; 1 ; 1336041166781
2012-05-03 10:32:52.3489|INFO|FinalVersion.SurfaceWindow1|; 1336041168399 ; steven houben ; C ; 1 ; 1 ; 1 ; 1 ; 1336041172348
2012-05-03 10:32:57.1862|INFO|FinalVersion.SurfaceWindow1|; 1336041173865 ; steven houben ; C ; 1 ; 1 ; 2 ; 1 ; 1336041177186
2012-05-03 10:33:01.4534|INFO|FinalVersion.SurfaceWindow1|; 1336041178952 ; steven houben ; C ; 1 ; 1 ; 1 ; 1 ; 1336041181453
2012-05-03 10:33:06.7577|INFO|FinalVersion.SurfaceWindow1|; 1336041184370 ; steven houben ; C ; 1 ; 1 ; 0 ; 1 ; 1336041186757
2012-05-03 10:33:12.0120|INFO|FinalVersion.SurfaceWindow1|; 1336041188348 ; steven houben ; C ; 1 ; 1 ; 2 ; 1 ; 1336041192012
2012-05-03 10:34:29.7005|INFO|FinalVersion.SurfaceWindow1|; 1336041212482 ; steven houben ; C ; 2 ; 1 ; 1 ; 0 ; 1336041269700
2012-05-03 10:35:02.4954|INFO|FinalVersion.SurfaceWindow1|; 1336041272853 ; steven houben ; C ; 2 ; 1 ; 0 ; 0 ; 1336041302495
2012-05-03 10:35:44.0077|INFO|FinalVersion.SurfaceWindow1|; 1336041305181 ; steven houben ; C ; 2 ; 1 ; 2 ; 0 ; 1336041344007
2012-05-03 10:36:08.7872|INFO|FinalVersion.SurfaceWindow1|; 1336041365140 ; steven houben ; C ; 0 ; 0 ; 0 ; 0 ; 1336041368786
2012-05-03 10:36:16.9936|INFO|FinalVersion.SurfaceWindow1|; 1336041372852 ; steven houben ; C ; 0 ; 0 ; 1 ; 0 ; 1336041376993
