2012-05-07 09:32:55.1793|INFO|FinalVersion.SurfaceWindow1|; 1336383144384 ; alberto ; A ; 2 ; 1 ; 0 ; 0 ; 1336383175179
2012-05-07 09:34:13.3997|INFO|FinalVersion.SurfaceWindow1|; 1336383180030 ; alberto ; A ; 2 ; 1 ; 1 ; 0 ; 1336383253399
2012-05-07 09:35:47.7401|INFO|FinalVersion.SurfaceWindow1|; 1336383257752 ; alberto ; A ; 2 ; 1 ; 2 ; 0 ; 1336383347740
2012-05-07 09:36:38.8651|INFO|FinalVersion.SurfaceWindow1|; 1336383387431 ; alberto ; A ; 0 ; 3 ; 0 ; 1 ; 1336383398865
2012-05-07 09:36:52.3938|INFO|FinalVersion.SurfaceWindow1|; 1336383401944 ; alberto ; A ; 0 ; 3 ; 1 ; 0 ; 1336383412393
2012-05-07 09:37:05.8406|INFO|FinalVersion.SurfaceWindow1|; 1336383415239 ; alberto ; A ; 0 ; 3 ; 2 ; 0 ; 1336383425840
2012-05-07 09:37:17.6163|INFO|FinalVersion.SurfaceWindow1|; 1336383430285 ; alberto ; A ; 0 ; 3 ; 1 ; 0 ; 1336383437616
2012-05-07 09:37:26.1578|INFO|FinalVersion.SurfaceWindow1|; 1336383441662 ; alberto ; A ; 0 ; 3 ; 0 ; 0 ; 1336383446157
2012-05-07 09:37:52.4383|INFO|FinalVersion.SurfaceWindow1|; 1336383450337 ; alberto ; A ; 0 ; 3 ; 2 ; 1 ; 1336383472438
2012-05-07 09:38:02.2388|INFO|FinalVersion.SurfaceWindow1|; 1336383475526 ; alberto ; A ; 0 ; 3 ; 0 ; 1 ; 1336383482238
2012-05-07 09:38:12.1484|INFO|FinalVersion.SurfaceWindow1|; 1336383486586 ; alberto ; A ; 0 ; 3 ; 1 ; 1 ; 1336383492148
2012-05-07 09:38:25.1591|INFO|FinalVersion.SurfaceWindow1|; 1336383497512 ; alberto ; A ; 0 ; 3 ; 2 ; 0 ; 1336383505159
2012-05-07 09:38:41.1301|INFO|FinalVersion.SurfaceWindow1|; 1336383518847 ; alberto ; A ; 1 ; 3 ; 0 ; 1 ; 1336383521130
2012-05-07 09:38:46.7014|INFO|FinalVersion.SurfaceWindow1|; 1336383523986 ; alberto ; A ; 1 ; 3 ; 1 ; 1 ; 1336383526701
2012-05-07 09:38:54.3118|INFO|FinalVersion.SurfaceWindow1|; 1336383529590 ; alberto ; A ; 1 ; 3 ; 2 ; 1 ; 1336383534311
2012-05-07 09:38:58.0430|INFO|FinalVersion.SurfaceWindow1|; 1336383536463 ; alberto ; A ; 1 ; 3 ; 0 ; 1 ; 1336383538043
2012-05-07 09:39:02.4763|INFO|FinalVersion.SurfaceWindow1|; 1336383540317 ; alberto ; A ; 1 ; 3 ; 1 ; 1 ; 1336383542476
2012-05-07 09:39:08.5206|INFO|FinalVersion.SurfaceWindow1|; 1336383544684 ; alberto ; A ; 1 ; 3 ; 2 ; 1 ; 1336383548520
2012-05-07 09:39:12.8329|INFO|FinalVersion.SurfaceWindow1|; 1336383550609 ; alberto ; A ; 1 ; 3 ; 1 ; 1 ; 1336383552832
2012-05-07 09:39:17.5101|INFO|FinalVersion.SurfaceWindow1|; 1336383554881 ; alberto ; A ; 1 ; 3 ; 0 ; 1 ; 1336383557510
2012-05-07 09:39:23.3895|INFO|FinalVersion.SurfaceWindow1|; 1336383559684 ; alberto ; A ; 1 ; 3 ; 2 ; 1 ; 1336383563389
2012-05-07 09:40:40.9569|INFO|FinalVersion.SurfaceWindow1|; 1336383588125 ; alberto ; A ; 2 ; 3 ; 1 ; 0 ; 1336383640956
2012-05-07 09:41:10.0826|INFO|FinalVersion.SurfaceWindow1|; 1336383646061 ; alberto ; A ; 2 ; 3 ; 0 ; 0 ; 1336383670082
2012-05-07 09:42:28.9361|INFO|FinalVersion.SurfaceWindow1|; 1336383673401 ; alberto ; A ; 2 ; 3 ; 2 ; 0 ; 1336383748936
2012-05-07 09:43:04.6161|INFO|FinalVersion.SurfaceWindow1|; 1336383778948 ; alberto ; A ; 0 ; 2 ; 1 ; 0 ; 1336383784616
2012-05-07 09:43:15.6028|INFO|FinalVersion.SurfaceWindow1|; 1336383787847 ; alberto ; A ; 0 ; 2 ; 0 ; 1 ; 1336383795602
2012-05-07 09:43:25.9303|INFO|FinalVersion.SurfaceWindow1|; 1336383798715 ; alberto ; A ; 0 ; 2 ; 2 ; 1 ; 1336383805930
2012-05-07 09:43:34.5978|INFO|FinalVersion.SurfaceWindow1|; 1336383808807 ; alberto ; A ; 0 ; 2 ; 1 ; 0 ; 1336383814597
2012-05-07 09:43:42.9613|INFO|FinalVersion.SurfaceWindow1|; 1336383818500 ; alberto ; A ; 0 ; 2 ; 0 ; 0 ; 1336383822961
2012-05-07 09:43:54.7650|INFO|FinalVersion.SurfaceWindow1|; 1336383825889 ; alberto ; A ; 0 ; 2 ; 2 ; 1 ; 1336383834765
2012-05-07 09:44:01.6374|INFO|FinalVersion.SurfaceWindow1|; 1336383837433 ; alberto ; A ; 0 ; 2 ; 0 ; 0 ; 1336383841637
2012-05-07 09:44:19.0184|INFO|FinalVersion.SurfaceWindow1|; 1336383844472 ; alberto ; A ; 0 ; 2 ; 1 ; 2 ; 1336383859018
2012-05-07 09:44:30.8291|INFO|FinalVersion.SurfaceWindow1|; 1336383862154 ; alberto ; A ; 0 ; 2 ; 2 ; 1 ; 1336383870829
2012-05-07 09:44:57.9956|INFO|FinalVersion.SurfaceWindow1|; 1336383894234 ; alberto ; A ; 1 ; 2 ; 1 ; 2 ; 1336383897995
2012-05-07 09:45:03.0409|INFO|FinalVersion.SurfaceWindow1|; 1336383900536 ; alberto ; A ; 1 ; 2 ; 0 ; 1 ; 1336383903040
2012-05-07 09:45:09.6303|INFO|FinalVersion.SurfaceWindow1|; 1336383905812 ; alberto ; A ; 1 ; 2 ; 2 ; 2 ; 1336383909630
2012-05-07 09:45:14.2845|INFO|FinalVersion.SurfaceWindow1|; 1336383911032 ; alberto ; A ; 1 ; 2 ; 1 ; 2 ; 1336383914284
2012-05-07 09:45:17.9888|INFO|FinalVersion.SurfaceWindow1|; 1336383915903 ; alberto ; A ; 1 ; 2 ; 0 ; 1 ; 1336383917988
2012-05-07 09:45:25.8182|INFO|FinalVersion.SurfaceWindow1|; 1336383920473 ; alberto ; A ; 1 ; 2 ; 2 ; 2 ; 1336383925818
2012-05-07 09:45:29.7484|INFO|FinalVersion.SurfaceWindow1|; 1336383927481 ; alberto ; A ; 1 ; 2 ; 1 ; 1 ; 1336383929748
2012-05-07 09:45:36.2298|INFO|FinalVersion.SurfaceWindow1|; 1336383933484 ; alberto ; A ; 1 ; 2 ; 0 ; 2 ; 1336383936229
2012-05-07 09:45:42.0751|INFO|FinalVersion.SurfaceWindow1|; 1336383937773 ; alberto ; A ; 1 ; 2 ; 2 ; 2 ; 1336383942075
2012-05-07 09:55:46.5714|INFO|FinalVersion.SurfaceWindow1|; 1336384507814 ; alberto ; A ; 2 ; 2 ; 1 ; 0 ; 1336384546568
2012-05-07 09:56:18.9953|INFO|FinalVersion.SurfaceWindow1|; 1336384550618 ; alberto ; A ; 2 ; 2 ; 0 ; 0 ; 1336384578995
2012-05-07 09:57:36.6477|INFO|FinalVersion.SurfaceWindow1|; 1336384583582 ; alberto ; A ; 2 ; 2 ; 2 ; 0 ; 1336384656647
